filename,width,height,class,xmin,ymin,xmax,ymax
images_jpg.rf.88e894868584b7162339704c5ffca791.jpg,259,194,Dog,0,67,110,194
images_jpg.rf.88e894868584b7162339704c5ffca791.jpg,259,194,Dog,85,55,205,194
S6-contact-peugeot-tweet-125-le-premium-access-202998_jpg.rf.88ee66efe79437088273971cb892ba32.jpg,400,235,Motorcycle,66,90,128,230
IMG_2903_jpg.rf.89009e38071e979e4b209e2a72e5c7c5.jpg,1280,1280,Bus,0,603,659,1208
poteau-ligne-3_jpg.rf.89056e83f7c199b88834f6fd5467f1b2.jpg,750,1000,Electric pole,383,168,511,817
img-2260_jpg.rf.890732291b0d51685a75aedc3cc5d9bb.jpg,2000,1333,Person,388,1,1821,1331
Capturekj_PNG.rf.890effe7ee072498ef9649052d5720cb.jpg,741,391,Bus,148,6,603,385
img-2307_jpg.rf.8926a45296f7cdacc166c75d5fa8d4b7.jpg,2000,1333,Person,267,250,1183,1333
premium_photo-1670002388661-686f1e5b1c19_jpg.rf.88e44295558a2f78f943d6841e047404.jpg,1000,649,Person,667,240,698,343
premium_photo-1670002388661-686f1e5b1c19_jpg.rf.88e44295558a2f78f943d6841e047404.jpg,1000,649,Person,516,19,700,403
premium_photo-1670002388661-686f1e5b1c19_jpg.rf.88e44295558a2f78f943d6841e047404.jpg,1000,649,Bicycle,549,221,791,600
IMG-20230528-WA0048_jpg.rf.88e62f03bcac4fa14303bc97feae7ea0.jpg,768,1024,Car,1,483,273,775
IMG-20230528-WA0048_jpg.rf.88e62f03bcac4fa14303bc97feae7ea0.jpg,768,1024,Tree,196,167,279,477
IMG-20230528-WA0048_jpg.rf.88e62f03bcac4fa14303bc97feae7ea0.jpg,768,1024,Tree,289,141,554,711
IMG-20230528-WA0048_jpg.rf.88e62f03bcac4fa14303bc97feae7ea0.jpg,768,1024,Electric pole,265,0,294,778
img-2196_jpg.rf.88ecd9c0c273b7f996a30f41b0072394.jpg,2000,1333,Person,957,10,1754,1331
Capture01_PNG.rf.88f4b9f8f2958761aa9624b4ba2ce624.jpg,931,525,Bus,39,129,930,484
img-3071_jpg.rf.88f8adfcff7bd1c93878487b031db026.jpg,4032,3024,Traffic signs,1017,1574,1595,2022
img-3071_jpg.rf.88f8adfcff7bd1c93878487b031db026.jpg,4032,3024,Car,1196,1099,1571,1570
35304a1196925d42d0654b927c2836d6_jpg.rf.8911dc0457fff85eaccfd877583c8077.jpg,710,710,Tree,118,161,635,612
FireHawk-B_jpg.rf.891db5e4fa74436693444288f9e8e058.jpg,800,700,Motorcycle,47,118,733,666
images5_jpg.rf.892e7f640d9169cc71553805281c9b29.jpg,259,194,Motorcycle,68,2,181,182
T5A7YHGAW1FP_jpg.rf.892eecf3453f7a4f925c3f0c3eafa540.jpg,500,500,Bicycle,43,2,459,500
20230622_190541_jpg.rf.8921e51c0db9f97865be45192eb8ca80.jpg,3024,4032,Tree,343,1267,660,2655
20230622_190541_jpg.rf.8921e51c0db9f97865be45192eb8ca80.jpg,3024,4032,Tree,1341,1873,1613,2495
20230622_190541_jpg.rf.8921e51c0db9f97865be45192eb8ca80.jpg,3024,4032,Electric pole,1384,1579,1853,2464
20230622_190541_jpg.rf.8921e51c0db9f97865be45192eb8ca80.jpg,3024,4032,Tree,1647,1999,1777,2469
119734887_3526181560777792_3202428774482796605_n_jpg.rf.892762ffb77f66b0138f681ff9a02d7f.jpg,1280,1280,Motorcycle,881,579,944,741
119734887_3526181560777792_3202428774482796605_n_jpg.rf.892762ffb77f66b0138f681ff9a02d7f.jpg,1280,1280,Motorcycle,700,524,869,791
119734887_3526181560777792_3202428774482796605_n_jpg.rf.892762ffb77f66b0138f681ff9a02d7f.jpg,1280,1280,Person,806,421,906,777
119734887_3526181560777792_3202428774482796605_n_jpg.rf.892762ffb77f66b0138f681ff9a02d7f.jpg,1280,1280,Person,556,470,628,670
119734887_3526181560777792_3202428774482796605_n_jpg.rf.892762ffb77f66b0138f681ff9a02d7f.jpg,1280,1280,Person,681,445,749,680
119734887_3526181560777792_3202428774482796605_n_jpg.rf.892762ffb77f66b0138f681ff9a02d7f.jpg,1280,1280,Motorcycle,587,568,712,770
119734887_3526181560777792_3202428774482796605_n_jpg.rf.892762ffb77f66b0138f681ff9a02d7f.jpg,1280,1280,Motorcycle,473,572,599,742
119734887_3526181560777792_3202428774482796605_n_jpg.rf.892762ffb77f66b0138f681ff9a02d7f.jpg,1280,1280,Motorcycle,389,569,498,711
310207495_5593464187427588_2551960788730231733_n_jpg.rf.89357b62cf7baffdc3b16cfe605b86df.jpg,800,743,Bicycle,137,110,773,595
gettyimages-1298266903-612x612_jpg.rf.892bfae8afbb7b79853a60baceee6834.jpg,612,407,Bus,180,130,388,321
gettyimages-1298266903-612x612_jpg.rf.892bfae8afbb7b79853a60baceee6834.jpg,612,407,Bus,349,70,612,359
n02106550_895_jpg.rf.8932b6e10508d6a1d1de01c311c06f91.jpg,500,357,Dog,98,3,405,357
rayyu-maldives-i-rETD5k1Qk-unsplash_jpg.rf.8935d11fa9f8324e46e55280193a1172.jpg,4084,6120,Bicycle,1081,3302,3314,5226
n02106550_3528_jpg.rf.8979c19f07b1838d79508968e57fc84e.jpg,375,500,Dog,10,210,375,421
autobus_lodz_0036_jpg.rf.893cd5623a9ff892a601db5543c2ae01.jpg,1280,1280,Bus,520,614,825,785
DSCF6528_JPG_jpg.rf.89550f9de7ad70bb145c008342e05746.jpg,1280,1280,Bus,0,170,1261,1035
img-1106_jpg.rf.898011d9ed5a2046e65162b7e1d01f49.jpg,275,183,Uncovered manhole,153,117,196,131
img-1357_jpg.rf.89b83891e5d0508c1068a8f689215abb.jpg,1200,1600,Traffic signs,698,778,913,1203
n02106550_5754_jpg.rf.899ca3b1e7b627401710f952bf16880a.jpg,500,500,Dog,47,52,500,500
autobus_bydgoszcz_0061_jpg.rf.89c79dec353b354d9f8f28290b3d9dd4.jpg,1280,1280,Bus,306,475,902,824
autobus_bydgoszcz_0061_jpg.rf.89c79dec353b354d9f8f28290b3d9dd4.jpg,1280,1280,Bus,154,619,266,706
autobus_bydgoszcz_0061_jpg.rf.89c79dec353b354d9f8f28290b3d9dd4.jpg,1280,1280,Electric pole,18,421,127,705
img-2142_jpg.rf.89a3826625ee6985d66885c81a4229a3.jpg,1500,1344,Bicycle,112,88,1382,1151
5055112_NRN00__49025-1652864923-1280-1280_jpg.rf.89e8af78bf5b79505e7911b93cec334c.jpg,1280,747,Bicycle,1,1,1280,744
autobus_lublin_0211_jpg.rf.8a159b356eca2a17015965594a01a76e.jpg,1280,1280,Bus,339,439,1280,934
img-2359_jpg.rf.89a7db9e456efa4f51c20f2db57145c4.jpg,2000,1370,Person,898,43,1990,1370
autobus_bydgoszcz_0027_jpg.rf.8a2055a0d57c7c136a72371f8376558e.jpg,1280,1280,Bus,415,341,1273,1074
autobus_bydgoszcz_0027_jpg.rf.8a2055a0d57c7c136a72371f8376558e.jpg,1280,1280,Person,212,655,321,948
autobus_bydgoszcz_0027_jpg.rf.8a2055a0d57c7c136a72371f8376558e.jpg,1280,1280,Person,60,629,189,940
IMG-20230517-WA0041_jpg.rf.89dce243c7c2db5fed99074cffce696f.jpg,960,1280,Car,275,511,739,865
IMG-20230517-WA0041_jpg.rf.89dce243c7c2db5fed99074cffce696f.jpg,960,1280,Car,196,479,263,532
Autobus_201_jpg.rf.89fdf7c75a6e783bd84f40805d789cb9.jpg,1280,1280,Bus,106,105,1280,1145
Autobus_201_jpg.rf.89fdf7c75a6e783bd84f40805d789cb9.jpg,1280,1280,Traffic signs,59,437,118,707
gal-18045990_jpg.rf.8a1b881ec5a7013289dc2887076ede56.jpg,1000,666,Motorcycle,170,107,880,548
IMG_1635_JPG_jpg.rf.8a4b92c0f8b33fc36d7c886fe6564c14.jpg,1280,1280,Bus,596,571,1280,1280
IMG_1635_JPG_jpg.rf.8a4b92c0f8b33fc36d7c886fe6564c14.jpg,1280,1280,Bus,0,555,611,1280
bandelier-national-monument_jpg.rf.8a31a8832c503613f42ad83ae5cb8035.jpg,612,408,Uncovered manhole,430,146,533,301
img-2800_jpg.rf.89b13e6951e52eb57f4b098c342611d7.jpg,4032,3024,Electric pole,771,1555,3569,1731
img-2800_jpg.rf.89b13e6951e52eb57f4b098c342611d7.jpg,4032,3024,Electric pole,1755,1102,3141,1221
img-2800_jpg.rf.89b13e6951e52eb57f4b098c342611d7.jpg,4032,3024,Traffic signs,2789,1098,2900,1112
img-2800_jpg.rf.89b13e6951e52eb57f4b098c342611d7.jpg,4032,3024,Traffic signs,2797,954,3123,1055
IMG-20230616-WA0028_jpg.rf.8a2bb855afde6ece010791b1e30c24a2.jpg,768,1024,Electric pole,246,128,291,706
img-949_jpg.rf.8a24919295e3e2396ceda8d3fb9d5d4a.jpg,2560,1440,Bus,402,130,2119,1222
1939780403_L_jpg.rf.89a78c12eb47a10dfb00ceb66cd7423f.jpg,500,500,Bicycle,32,92,427,349
Capture-d-ecran-2023-07-17-111933_png.rf.8a4e756fb93cda87c44ac0dab12e9f34.jpg,722,501,Dog,0,11,577,501
istockphoto-1432879613-612x612_jpg.rf.8a4fed1b71058829056864ce191e54b3.jpg,612,344,Bicycle,379,165,464,337
istockphoto-1432879613-612x612_jpg.rf.8a4fed1b71058829056864ce191e54b3.jpg,612,344,Bicycle,316,183,345,259
istockphoto-1432879613-612x612_jpg.rf.8a4fed1b71058829056864ce191e54b3.jpg,612,344,Bicycle,233,184,269,275
24526308_g_jpg.rf.8a48bb55618395609023aa75056e31cf.jpg,800,544,Motorcycle,21,37,774,530
img-3680_jpeg.rf.89f908b45fe04ee9aeaf47c25be13bd0.jpg,5760,3840,Person,1578,26,4514,3840
